0	NOP
1	LBSYNC
12	SETCC_CONDB
13	SETCC_CONDNB
14	SETCC_CONDE
17	SETCC_CONDNBE
40	SIGEVENT
41	SIGEVENTCMP
50	UJMPCC_INDIRECT_NOTTAKEN_CONDO
52	UJMPCC_INDIRECT_NOTTAKEN_CONDB
55	UJMPCC_INDIRECT_NOTTAKEN_CONDNE
5b	UJMPCC_INDIRECT_NOTTAKEN_CONDNP
70	WRSEGFLD
71	WRCHKWIDESEG
72	WRHOSTSEG
74	BUILDRENSEG
75	BUILDSEG
79	MOVSEG
7c	RDSEGFLD
7d	RDSEGBASE
7e	RDSEGSNARL
82	RSTUPDNCTR
c1	CHKCANONICALFAULT_CPUCANONICAL
c2	CHKCANONICALFAULT_DYNAMICCANON
d1	MRET_INDIRECT
d4	MJMPTARGET_INDIRECT
d8	MJMPEVENT_INDIRECT
e2	DEALLOCATEPRF
e9	HLEBEGIN
ea	HLEEND
f2	RDGPPLA
f4	MSR2CR
f5	FPDECODE
f6	FPMAKEUIP
f8	RDVMCSPLA
110	SELECTCC_CONDO
112	SELECTCC_CONDB
113	SELECTCC_CONDNB
114	SELECTCC_CONDE
115	SELECTCC_CONDNE
140	FETCHFROMEIP
141	SIGEVENTJMP
144	LDUARSTALL
145	WRMSLOOPCTRFBR
146	MSWRITETOMS
147	URET
148	FASTUJMPNT
149	FASTUJMP
14a	TRANSPORTUIP
14b	UPDATEFSW
14c	PFPRDMXCSR
14d	PFPWRMXCSR
14e	FPRDFCWWRPEF
14f	FPWRFCW
162	LOADEPTADLOCK
166	LDPTELOCK
169	LDPDELOCK
16e	ITLBPAGEFETCH
17e	RDVMCSDIRTYBITS
17f	WRVMCSDIRTYBITS
192	CMOVCC_DSZ32_CONDB
193	CMOVCC_DSZ32_CONDNB
194	CMOVCC_DSZ32_CONDE
195	CMOVCC_DSZ32_CONDNE
197	CMOVCC_DSZ32_CONDNBE
19a	CMOVCC_DSZ32_CONDP
1a0	MERGEFSWSTATE
1a1	MERGEFCCSTATE
1a4	MOVX872INT
1c1	BROADCAST_CPL
1c4	BROADCAST_DL
1c5	BROADCAST_CSLIMIT
1c8	BROADCAST_CSBASE
1cf	BROADCAST_RENFSYS
1d0	UJMPTARGET_INDIRECT
1f5	IDIV32
210	MERGEARITHFLAGS
212	READAFLAGS
214	GENARITHFLAGS
220	MOVFLGSSIMD2INT_FLGPTEST
222	PINTMOVDMM2I_DSZ64
22b	KMOVK2I_DSZ64
244	TESTUJZ_DIRECT_NOTTAKEN
245	TESTUJNZ_DIRECT_NOTTAKEN
246	CMPUJZ_DIRECT_NOTTAKEN
247	CMPUJNZ_DIRECT_NOTTAKEN
252	UJMPCC_DIRECT_NOTTAKEN_CONDB
253	UJMPCC_DIRECT_NOTTAKEN_CONDNB
254	UJMPCC_DIRECT_NOTTAKEN_CONDE
255	UJMPCC_DIRECT_NOTTAKEN_CONDNE
257	UJMPCC_DIRECT_NOTTAKEN_CONDNBE
258	UJMPCC_DIRECT_NOTTAKEN_CONDS
25c	UJMPCC_DIRECT_NOTTAKEN_CONDL
25d	UJMPCC_DIRECT_NOTTAKEN_CONDNL
260	STEPTAD
261	STASPECIAL
265	STPTE
266	STPDE
26a	TSCORESQFENCE
26d	ZEROLENSTA
280	COMPUTEQWAUPPER_COMPQWACURMODENONEXT
282	COMPUTEQWAUPPER_COMPQWACPUCANONNONEXT
285	COMPUTEQWAUPPER_COMPQWADYNAMICEXTEND
292	CMOVCC_DSZ64_CONDB
293	CMOVCC_DSZ64_CONDNB
294	CMOVCC_DSZ64_CONDE
295	CMOVCC_DSZ64_CONDNE
2d2	MCALL_DIRECT
2d4	MJMPTARGET_DIRECT
300	PSELECT_VMNIOPL3
301	PSELECT_VMORVME
303	PSELECT_CPL0
308	PSELECT_PM
309	PSELECT_RM
30a	PSELECT_GPTRAP
30b	PSELECT_LONGMODE
30d	PSELECT_MODE64B
311	CHKCANONICALNOFAULT_CPUCANONICAL
316	CHKCANONICALNOFAULT_LOOPCTR
320	MOVFLGSSIMD2INT_FLGPTEST256
344	TESTUJZ_DIRECT_TAKEN
345	TESTUJNZ_DIRECT_TAKEN
346	CMPUJZ_DIRECT_TAKEN
